section_id,route_name,start_station,end_station,latitude,longitude,start_latitude,start_longitude,end_latitude,end_longitude,track_length_km,track_type,electrified,terrain,risk_level,defect_status,last_inspection_date,speed_limit_kmh,traffic_gmt_per_day
SEC-NR-101,NDLS-CNB Golden Corridor,New Delhi (NDLS),Ghaziabad Jn (GZB),28.6561,77.3366,28.6429,77.2195,28.6692,77.4538,28.4,Quadruple Broad Gauge (1676mm),25kV AC 50Hz OHE,Gangetic Alluvial Plain,CRITICAL,Transverse Fatigue Crack at KM 14.2,2026-08-28,130,62
SEC-NR-102,NDLS-CNB Golden Corridor,Ghaziabad Jn (GZB),Aligarh Jn (ALJN),28.2833,77.7709,28.6692,77.4538,27.8974,78.088,106.1,Triple Broad Gauge,25kV AC 50Hz OHE,Gangetic Alluvial Plain,LOW,Operational - No Defect,2026-09-01,130,48
SEC-NR-103,NDLS-CNB Golden Corridor,Aligarh Jn (ALJN),Tundla Jn (TDL),27.5529,78.1658,27.8974,78.088,27.2084,78.2435,78.5,Double Broad Gauge,25kV AC 50Hz OHE,Semi-Arid Alluvium,HIGH,Ballast Scour and Sleeper Spalling,2026-08-20,110,58
SEC-NR-104,NDLS-CNB Golden Corridor,Tundla Jn (TDL),Etawah Jn (ETW),26.9927,78.6352,27.2084,78.2435,26.7769,79.027,92.0,Double Broad Gauge,25kV AC 50Hz OHE,Ravine & Alluvial Border,MEDIUM,Fastener Dislocation (Missing Clips),2026-08-25,120,54
SEC-NR-105,NDLS-CNB Golden Corridor,Etawah Jn (ETW),Kanpur Central (CNB),26.6154,79.6891,26.7769,79.027,26.4539,80.3512,139.2,Double Broad Gauge,25kV AC 50Hz OHE,Gangetic Alluvial Basin,CRITICAL,Severe Rail Corrugation & Head Check,2026-08-18,110,66
SEC-NR-106,NDLS-KLK Northern Trunk,Subzi Mandi (SZM),Panipat Jn (PNP),29.0288,77.0809,28.6667,77.1983,29.3909,76.9635,89.0,Double Broad Gauge,25kV AC 50Hz OHE,Fertile Plains,LOW,Operational - Normal,2026-08-30,130,40
SEC-NR-107,NDLS-KLK Northern Trunk,Panipat Jn (PNP),Ambala Cantt (UMB),29.8759,76.8988,29.3909,76.9635,30.3609,76.834,109.5,Double Broad Gauge,25kV AC 50Hz OHE,Ghaggar Floodplain,HIGH,Bridge Pier Scour at Ghaggar Crossing,2026-08-22,100,48
SEC-NR-108,UMB-CDG Express Corridor,Ambala Cantt (UMB),Chandigarh Jn (CDG),30.5328,76.8308,30.3609,76.834,30.7046,76.8277,45.0,Double Broad Gauge,25kV AC 50Hz OHE,Shivalik Piedmont Plain,MEDIUM,Minor Thermal Gauge Variation,2026-08-27,120,36
SEC-CR-201,CSTM-PUNE Deccan Expressway,Mumbai CSMT (CSMT),Kalyan Jn (KYN),19.0919,72.9854,18.94,72.8353,19.2437,73.1355,53.8,Sextuple Broad Gauge (Suburban + Long Distance),25kV AC 50Hz OHE,Coastal Estuary & Alluvium,HIGH,Severe Substructure Water Ingress,2026-08-24,105,85
SEC-CR-202,CSTM-PUNE Deccan Expressway,Kalyan Jn (KYN),Karjat Jn (KJT),19.0769,73.2317,19.2437,73.1355,18.91,73.3278,46.0,Double Broad Gauge,25kV AC 50Hz OHE,Ulhas River Valley Plain,MEDIUM,Rail Joint Wear & Bolt Slackness,2026-08-26,110,62
SEC-CR-203,Bhor Ghat Mountain Line,Karjat Jn (KJT),Lonavala (LNL),18.8329,73.3684,18.91,73.3278,18.7557,73.4091,28.5,Triple Mountain Gauge (1 in 37 Gradient),25kV AC 50Hz OHE,Western Ghats Escarpment,CRITICAL,Boulder Fall & Embankment Slip Risk,2026-08-29,60,68
SEC-CR-204,CSTM-PUNE Deccan Expressway,Lonavala (LNL),Shivajinagar (SVJR),18.6436,73.6268,18.7557,73.4091,18.5314,73.8446,62.0,Double Broad Gauge,25kV AC 50Hz OHE,Deccan Plateau,LOW,Operational - Tamp Completed,2026-09-02,120,46
